         MJD         m       dm   uJy  duJy F  err   chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN c1_mean c1_mean_err c1_stdev c1_stdev_err c1_X2norm c1_Nvalid c1_Nnan c2_mean c2_mean_err c2_stdev c2_stdev_err c2_X2norm c2_Ngood c2_Nclip c2_Nmask c2_Nnan
58396.337535 19.334813      NaN    16    17 c    0    1.66 299.61892 62.13773  2173.77  1207.92 2.49 2.39 -78.9 -0.419    19.09 20.67 02a58396o0297c 0x000000   0.941176   10.30        6.55    22.44         6.00      1.54         7       0   10.30        6.55    22.44         6.00      1.54        7        0        0       0
58396.346371 19.302877      NaN    -6    23 c    0    1.70 299.61892 62.13773  2147.75  1168.06 2.53 2.42  48.8 -0.434    18.80 20.26 02a58396o0316c 0x000000  -0.260870    8.98        8.46    16.97         4.54      0.59         7       0    9.07        9.80    18.34         5.80      0.73        5        0        2       0
58396.348200 19.169763      NaN   -11    26 c    0    1.11 299.61892 62.13773  2211.29  1241.86 2.52 2.45  54.9 -0.424    18.68 20.14 02a58396o0320c 0x000030  -0.423077  345.98        8.97   867.42       231.83   1312.72         7       0   -9.12       11.78    33.92        11.99      2.37        4        0        3       0
58396.362236 18.376212      NaN   -36    54 c    0    2.31 299.61892 62.13773  2237.70  1122.45 2.57 2.45  46.1 -0.430    17.91 19.25 02a58396o0350c 0x100002  -0.666667   -6.43       19.14    33.06         8.84      0.43         7       0     NaN         NaN      NaN          NaN       NaN        0        0        7       0
58400.317615 20.103715      NaN   -16    11 c    0    2.10 299.61892 62.13773  2079.93  8715.00 2.56 2.41 -24.9 -0.421    19.73 21.57 02a58400o0256c 0xc00130  -1.454545  379.04        4.18   596.19       159.34   3096.13         7       0   -9.69        5.06    18.26         5.77      2.67        5        0        2       0
58400.326124 16.316441      NaN  -253   360 c    0    1.94 299.61892 62.13773  2060.08  8672.39 2.75 2.61   2.2 -0.439    16.15 17.67 02a58400o0274c 0x900002  -0.702778   -3.08      159.94   397.96       106.36      0.94         7       0     NaN         NaN      NaN          NaN       NaN        0        0        7       0
58424.296802 16.186774 0.010706  1217    12 c    0  366.09 299.61892 62.13773  8235.36  9521.61 2.92 2.61  26.7 -0.400    19.52 21.19 02a58424o0238c 0x900031 101.416667  180.80        4.21   376.20       100.54   1361.53         7       0    2.83        4.97    16.42         5.19      2.37        5        0        2       0
58424.298633 19.226921 0.190737    74    13 c    0    3.06 299.61892 62.13773  8216.05  9478.22 3.00 2.70  26.0 -0.401    19.51 21.18 02a58424o0242c 0xc00330   5.692308   16.89        4.85    22.58         6.04      3.11         7       0   16.89        4.85    22.58         6.04      3.11        7        0        0       0
58424.312630 19.841877      NaN     0    14 c    0    5.84 299.61892 62.13773  8269.52  9559.73 3.02 2.71  28.8 -0.398    19.46 21.12 02a58424o0272c 0xc00130   0.000000   16.82        4.90    34.27         9.16      6.76         7       0   15.75        5.79    24.04         7.60      3.15        5        2        0       0
58424.320425 20.009244 0.361912    36    12 c    0   10.61 299.61892 62.13773  8285.77  9420.76 3.17 2.84  29.3 -0.396    19.41 21.09 02a58424o0289c 0x900001   3.000000    2.36        5.04    21.10         5.64      2.40         7       0    2.36        5.04    21.10         5.64      2.40        7        0        0       0
58428.265127 15.952558 0.008628  1510    12 c    0  716.54 299.61892 62.13773  1475.65  7735.31 2.54 2.42 -14.8 -0.422    19.56 21.31 02a58428o0117c 0xd00131 125.833333   46.20        4.07   122.06        32.62    123.71         7       0    2.49        4.38    18.01         5.20      2.79        6        0        1       0
58428.272595 16.644993 0.013606   798    10 c    0  278.05 299.61892 62.13773  1456.30  7693.94 2.54 2.45 -21.2 -0.424    19.56 21.28 02a58428o0133c 0x900031  79.800000  311.99        4.36   816.71       218.28   4155.52         7       0   -4.68        5.01    13.43         4.25      1.32        5        0        2       0
58428.279024 15.338613 0.005310  2658    13 c    0 1867.48 299.61892 62.13773  1507.31  7766.64 2.57 2.42 -20.1 -0.425    19.53 21.27 02a58428o0147c 0x900031 204.461538  516.53        4.71  1026.84       274.44   6360.31         7       0  -11.66        5.70    14.98         4.74      1.39        5        0        2       0
58428.289798 16.192140 0.010759  1211    12 c    0  477.41 299.61892 62.13773  1526.92  7645.44 2.51 2.38   4.2 -0.437    19.53 21.21 02a58428o0170c 0xd00111 100.916667    2.69        4.42    19.82         5.30      3.31         7       0    2.69        4.42    19.82         5.30      3.31        7        0        0       0
58432.266519 16.581574 0.012834   846    10 c    0  339.17 299.61892 62.13773  1530.18  1338.86 2.51 2.32  41.8 -0.450    19.67 21.39 02a58432o0177c 0x100031  84.600000  450.29        3.88   886.94       237.04   7750.74         7       0  -10.87        4.55    11.37         3.60      1.27        5        0        2       0
58432.275994 19.696897      NaN    18    10 c    0    3.13 299.61892 62.13773  1509.26  1299.92 2.49 2.38  78.1 -0.433    19.58 21.35 02a58432o0197c 0x002030   1.800000  485.76        4.07   881.14       235.49   6576.87         7       0   -9.49        4.87     5.68         1.80      0.29        5        0        2       0
58432.279224 19.791368      NaN    14    10 c    0    1.89 299.61892 62.13773  1572.64  1375.87 2.47 2.39  84.9 -0.437    19.55 21.31 02a58432o0204c 0x400830   1.400000  436.75        4.19   629.68       168.29   3440.84         7       0   -1.82        6.53     3.79         1.55      0.11        3        1        3       0
58432.291397 15.893779 0.010898  1594    16 c    0  443.36 299.61892 62.13773  1590.69  1249.57 2.53 2.35  36.6 -0.441    18.80 20.35 02a58432o0230c 0x180011  99.625000   15.67        5.96    40.82        10.91      6.32         7       0    2.59        6.42    19.94         5.76      1.58        6        1        0       0
58436.256774 19.589310      NaN     5    16 c    0    5.26 299.61892 62.13773  1170.83  8454.04 2.56 2.35 -13.6 -0.441    19.35 20.69 02a58436o0157c 0x080030   0.312500   48.16        5.59   106.24        28.39     45.26         7       0    0.71        6.71    20.56         6.50      2.01        5        1        1       0
58436.265410 16.202047 0.010857  1200    12 c    0  499.54 299.61892 62.13773  1141.44  8414.82 2.55 2.35 -30.7 -0.432    19.33 20.68 02a58436o0175c 0x180031 100.000000  263.29        5.21   597.85       159.78   2075.49         7       0   -2.27        6.14     9.35         2.96      0.47        5        1        1       0
58436.272411 19.841877      NaN   -16    14 c    0    5.51 299.61892 62.13773  1205.17  8486.11 2.55 2.34  -4.9 -0.450    19.32 20.65 02a58436o0190c 0x000030  -1.142857  901.25        5.69  1465.08       391.56   9759.97         7       0   -8.63        6.84    14.54         4.60      0.77        5        0        2       0
58436.275627 18.921935 0.166184    98    15 c    0    3.10 299.61892 62.13773 10287.85  8478.29 2.77 2.46  26.2 -0.441    19.33 20.72 02a58436o0197c 0x081030   6.533333  247.64        5.12   470.95       125.87   1475.16         7       0   -8.59        6.70    21.24         7.51      2.32        4        1        2       0
58436.278371 19.696897      NaN     3    15 c    0    0.85 299.61892 62.13773 10261.11  8432.68 2.73 2.39  24.5 -0.444    19.36 20.72 02a58436o0203c 0x000030   0.200000  301.86        5.47   774.18       206.91   3029.66         7       0  -11.30        5.94    14.25         4.12      1.24        6        0        1       0
58436.280203 15.359647 0.006664  2607    16 c    0 1238.28 299.61892 62.13773  1222.36  8363.74 2.49 2.29  -5.2 -0.458    19.30 20.61 02a58436o0207c 0x500131 162.937500  710.08        5.77  1174.42       313.88   5935.05         7       0    0.41        6.90    23.60         7.46      2.64        5        0        2       0
58436.290055 19.674510      NaN     1    16 c    0    4.64 299.61892 62.13773 10323.68  8515.64 2.85 2.50  28.3 -0.428    19.11 20.47 02a58436o0228c 0x080030   0.062500   64.95        5.53   104.25        27.86     59.71         7       0   -5.94        7.47    10.25         3.62      0.43        4        2        1       0
58436.299691 19.454622      NaN     9    17 c    0    9.71 299.61892 62.13773 10339.42  8397.18 2.75 2.47  25.6 -0.457    19.19 20.54 02a58436o0249c 0x400130   0.529412  888.74        5.97  1518.65       405.88   9135.68         7       0    3.37        7.84    35.27        12.47      4.55        4        1        2       0
58456.229644 19.674510 0.221579    49    10 c    0    2.71 299.61892 62.13773  1890.58  6055.09 2.46 2.38 -32.0 -0.419    19.56 21.31 02a58456o0101c 0x400130   4.900000   21.12        4.42    28.20         7.54      5.62         7       0   13.14        4.75    19.17         5.53      2.59        6        1        0       0
58456.240223 19.419021      NaN    23    13 c    0    1.64 299.61892 62.13773  1871.35  6013.22 2.47 2.37 -36.0 -0.414    19.55 21.26 02a58456o0123c 0x082010   1.769231   10.17        4.61    32.66         8.73      6.46         7       0    0.29        4.93    13.36         3.86      1.34        6        1        0       0
58456.248962 15.584673 0.007173  2119    14 c    0  837.29 299.61892 62.13773 10479.53  6193.88 2.67 2.55  30.7 -0.451    19.58 21.31 02a58456o0141c 0x500331 151.357143  587.61        5.69  1076.37       287.67   4697.44         7       0   37.44        7.09    26.76         9.46      3.38        4        1        2       0
58456.250428 15.636622 0.005912  2020    11 c    0 1588.78 299.61892 62.13773  1934.19  6086.49 2.45 2.34 -25.0 -0.418    19.52 21.23 02a58456o0144c 0x100001 183.636364    8.33        4.49    15.97         4.27      1.80         7       0    2.68        4.84     5.85         1.69      0.22        6        1        0       0
58456.259489 19.549093 0.315851    55    16 c    0    1.29 299.61892 62.13773 10460.74  6153.41 2.68 2.58  35.8 -0.443    19.51 21.29 02a58456o0163c 0x002030   3.437500   67.36        5.34    94.64        25.29     45.28         7       0   11.43        6.34    12.30         3.89      0.68        5        0        2       0
58456.260873 19.491430      NaN    22    12 c    0    6.69 299.61892 62.13773  1952.70  5967.15 2.50 2.44 -36.3 -0.415    19.45 21.17 02a58456o0166c 0x400110   1.833333    9.57        4.64    25.07         6.70      4.28         7       0    9.57        4.64    25.07         6.70      4.28        7        0        0       0
58456.269477 18.649074 0.249892   126    29 c    0    2.50 299.61892 62.13773 10514.29  6236.00 2.65 2.53  24.4 -0.450    19.54 21.26 02a58456o0184c 0x400830   4.344828   90.70       18.35   150.76        43.52      5.31         6       1    1.00       28.00      NaN          NaN       NaN        1        0        5       1
