         MJD         m       dm   uJy  duJy F  err    chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN  c1_mean c1_mean_err c1_stdev c1_stdev_err c1_X2norm c1_Nvalid c1_Nnan  c2_mean c2_mean_err c2_stdev c2_stdev_err c2_X2norm c2_Ngood c2_Nclip c2_Nmask c2_Nnan
57963.470227 19.841877      NaN   -10    14 o    0     0.72 299.61892 62.13773  6409.13  5907.66  2.10 1.90 -40.0 -0.454    19.62 20.81 02a57963o0025o 0x002000  -0.714286    -6.72        4.64    14.84         3.97      1.54         7       0    -6.72        4.64    14.84         3.97      1.54        7        0        0       0
57963.471202 19.841877      NaN     3    13 o    0     1.01 299.61892 62.13773  6471.45  6004.82  2.08 1.92 -34.9 -0.452    19.65 20.82 02a57963o0027o 0x002000   0.230769    11.01        5.06    18.27         4.88      1.66         7       0    11.01        5.06    18.27         4.88      1.66        7        0        0       0
57963.488912 19.510313 0.228576    57    12 o    0     1.84 299.61892 62.13773  6488.74  5888.92  2.01 1.97  27.2 -0.470    19.56 20.80 02a57963o0063o 0x400110   4.750000     2.69        4.45    18.44         4.93      2.54         7       0     2.69        4.45    18.44         4.93      2.54        7        0        0       0
57965.445573 16.042463 0.010154  1390    13 o    0   411.90 299.61892 62.13773  4115.04  7349.98  2.96 2.78  81.6 -0.436    19.30 20.92 01a57965o0402o 0x500831 106.923077  1253.57        5.02  1187.24       317.30   8171.48         7       0    -6.90        7.79    16.92         6.91      1.63        3        0        4       0
57965.455464 19.589310 0.266313    53    13 o    0     7.66 299.61892 62.13773  4137.09  7430.30  2.89 2.75 -87.6 -0.442    19.31 20.88 01a57965o0422o 0x400830   4.076923  1573.45        5.08  1903.29       508.67  20159.99         7       0   -18.64        7.64    17.56         7.17      1.85        3        1        3       0
57965.456436 19.472870 0.276035    59    15 o    0     1.77 299.61892 62.13773  4072.41  7355.95  2.90 2.74  87.2 -0.440    19.33 20.88 01a57965o0424o 0x002030   3.933333   277.87        5.03   422.38       112.89   1157.67         7       0     9.10        6.97     5.72         2.02      0.17        4        0        3       0
57965.473549 19.155932      NaN    37    14 o    0     1.73 299.61892 62.13773  4066.52  7538.03  2.95 2.81  80.5 -0.436    19.30 20.84 01a57965o0459o 0x082030   2.642857    96.52        5.18   114.98        30.73     81.49         7       0     7.78        7.09    11.87         4.20      0.65        4        1        2       0
57967.428500 19.922338      NaN    -3    13 o    0     1.32 299.61892 62.13773  5357.83  3753.35  2.02 1.91  57.0 -0.479    19.31 20.23 02a57967o0369o 0x000000  -0.230769     4.18        6.26    11.06         2.96      0.50         7       0     4.18        6.26    11.06         2.96      0.50        7        0        0       0
57967.438315 19.510313 0.285720    57    15 o    0     2.29 299.61892 62.13773  5340.50  3713.10  2.03 1.93  56.6 -0.475    19.30 20.17 02a57967o0389o 0x001000   3.800000     4.74        6.49    11.98         3.20      0.53         7       0     4.74        6.49    11.98         3.20      0.53        7        0        0       0
57967.457533 19.510313      NaN   -37    19 o    0     1.29 299.61892 62.13773  5392.78  3791.21  2.04 1.91  51.0 -0.474    19.05 19.83 02a57967o0428o 0x000000  -1.947368     4.54        7.12    13.28         3.55      0.56         7       0     4.54        7.12    13.28         3.55      0.56        7        0        0       0
57967.459487 18.910912      NaN    24    25 o    0     0.67 299.61892 62.13773  5419.36  3674.21  2.00 1.89  51.1 -0.477    18.89 19.66 02a57967o0432o 0x000000   0.960000    22.87        8.10    23.79         6.36      1.21         7       0    22.87        8.10    23.79         6.36      1.21        7        0        0       0
57969.428560 18.836735 0.174128   106    17 o    0     3.94 299.61892 62.13773  2134.58  6572.08  3.05 2.60 -89.4 -0.473    19.03 20.15 01a57969o0292o 0x400110   6.235294    10.51        7.22    34.19         9.14      2.96         7       0     5.10        7.60    29.58         8.54      2.53        6        0        1       0
57969.437888 19.026525 0.243986    89    20 o    0     4.10 299.61892 62.13773  2151.20  6646.09  3.34 2.81  87.2 -0.447    18.96 20.15 01a57969o0311o 0x400220   4.450000    38.86        7.32    30.98         8.28      2.45         7       0    31.92        7.81    24.46         7.06      1.64        6        0        1       0
57969.456969 19.569016      NaN   -17    18 o    0     3.46 299.61892 62.13773  2101.89  6642.25  3.46 3.05  85.3 -0.430    18.85 20.14 01a57969o0350o 0x002000  -0.944444    18.95        7.31    13.62         3.64      0.48         7       0    16.01        8.54     9.60         3.04      0.24        5        0        2       0
57969.458435 18.889197      NaN    44    19 o    0     3.98 299.61892 62.13773  2077.68  6764.79  3.38 2.98  87.6 -0.441    18.88 20.15 01a57969o0353o 0x400220   2.315789    26.16        7.39    16.72         4.47      0.65         7       0    26.16        7.39    16.72         4.47      0.65        7        0        0       0
57972.417294 18.702047      NaN   -19    40 o    0     0.81 299.61892 62.13773  3964.08  2913.97  2.01 1.88  46.6 -0.454    18.29 18.59 02a57972o0362o 0x000000  -0.475000    15.11       12.42    33.45         8.94      1.06         7       0    13.14       13.40    36.00        10.39      1.24        6        0        1       0
57972.427042 18.631975      NaN    47    27 o    0     0.82 299.61892 62.13773  3946.55  2875.56  2.01 1.90  44.3 -0.467    18.58 18.92 02a57972o0382o 0x000000   1.740741     8.99        9.44    26.84         7.17      1.13         7       0     7.56       10.36    29.11         8.40      1.34        6        0        1       0
57972.428014 19.102305      NaN     2    27 o    0     0.95 299.61892 62.13773  4010.06  2951.73  2.04 1.92  46.9 -0.468    18.60 18.88 02a57972o0384o 0x000000   0.074074    -7.48       11.24    19.39         5.18      0.46         7       0    -1.43       12.27    15.65         4.52      0.25        6        0        1       0
57972.429000 18.878500      NaN    24    26 o    0     0.88 299.61892 62.13773  4028.19  2835.75  2.08 1.95  47.8 -0.456    18.60 18.91 02a57972o0386o 0x000000   0.923077    19.51       10.16    23.08         6.17      0.68         7       0    19.86       10.85    25.28         7.30      0.82        6        0        1       0
57974.419478 19.351140      NaN     3    21 o    0     2.45 299.61892 62.13773  3492.06  5423.01  2.86 2.76  15.8 -0.455    18.84 19.82 01a57974o0356o 0x000010   0.142857    12.84        8.50    37.51        10.03      2.77         7       0     1.22        9.22    25.15         7.26      1.20        6        0        1       0
57974.439270 19.142275      NaN     2    26 o    0     1.10 299.61892 62.13773  3518.52  5539.69  2.84 2.74  27.8 -0.448    18.81 19.78 01a57974o0394o 0x000000   0.076923     9.96        9.46    33.59         8.98      1.85         7       0     8.78       10.23    36.72        10.60      2.21        6        0        1       0
57974.440806 19.226921      NaN     2    24 o    0     1.36 299.61892 62.13773  3456.80  5469.54  2.79 2.72  37.3 -0.454    18.84 19.78 01a57974o0397o 0x000000   0.083333    12.81        9.13    23.44         6.26      0.98         7       0     8.71        9.87    23.12         6.67      0.94        6        0        1       0
57974.459016 18.990530      NaN    23    23 o    0     1.05 299.61892 62.13773  3452.45  5652.71  2.85 2.77  36.1 -0.455    18.80 19.76 01a57974o0432o 0x000000   1.000000     5.68        9.07    29.65         7.93      1.46         7       0    -2.40        9.73    20.60         5.95      0.71        6        0        1       0
57976.457119 17.479496      NaN    31   113 o    0     1.94 299.61892 62.13773  4352.40  3173.70  3.08 2.77 -54.8 -0.428    16.96 17.59 02a57976o0218o 0x900002   0.274336   120.72       42.70   114.33        30.56      1.03         7       0    79.13       65.25   164.63        67.21      2.10        3        0        4       0
57978.439812 19.631075      NaN   -50    17 o    0     8.19 299.61892 62.13773  2605.12  5908.97  2.99 2.67  83.0 -0.457    19.13 20.48 01a57978o0380o 0x400130  -2.941176   895.29        6.45  1260.44       336.87   5880.48         7       0     4.69        8.55    28.80        10.18      2.76        4        0        3       0
57978.440327 19.696897      NaN   -19    16 o    0     1.46 299.61892 62.13773  2587.07  5871.87  2.91 2.62  82.1 -0.467    19.14 20.47 01a57978o0381o 0x002030  -1.187500  1322.14        6.00  1572.82       420.35  10077.70         7       0    -7.77        8.09    18.84         6.66      1.34        4        0        3       0
57978.442376 19.318728      NaN    17    17 o    0     1.20 299.61892 62.13773  2543.57  5841.27  2.84 2.59  82.3 -0.476    19.17 20.46 01a57978o0385o 0x400130   1.000000    27.38        5.91    55.83        14.92     13.44         7       0     6.91        6.42    28.65         8.27      3.02        6        1        0       0
