          MJD       m       dm    uJy   duJy  F  err     chi/N         RA       Dec         x         y    maj   min   phi  apfit    Sky     ZP             Obs  Mask  o0_Nmasked  o1_mean  o1_mean_err  o1_stddev    o1_X2norm  o1_Nvalid  o1_Nnan  Noffsetlc  o2_mean  o2_mean_err  o2_stddev  o2_X2norm  o2_Nused  o2_Nskipped  o2_Nin
 57927.532635  20.605    0.636     21     13  o    0      3.02  299.61892  62.13773   3973.63   2764.74   2.30  2.11 -37.9 -0.435  19.72  20.95  02a57927o0569o   512           1     21.0      405.759    993.903    6314.4064          7        0          7    8.349        4.853     23.435     3.3936         6            0       6
 57927.541305  22.627    3.735      3     12  o    0      2.15  299.61892  62.13773   3990.05   2646.55   2.28  2.08 -38.8 -0.437  19.73  20.94  02a57927o0587o     0           1      3.0       16.504     40.428      11.2736          7        0          7    0.259        4.836      8.873     0.6103         5            1       6
 57929.508567  17.940    0.052    242     13  o    0     13.70  299.61892  62.13773   5782.75   6141.14   3.37  2.99  49.0 -0.412  19.37  21.06  01a57929o0542o   100           2     63.0       13.659     33.458       6.4086          7        0          7   54.961        7.461     16.162     1.2793         3            2       5
 57929.517973  15.761    0.007   1801     12  o    0    558.49  299.61892  62.13773   5795.07   6215.00   3.40  2.99  46.8 -0.414  19.37  21.04  01a57929o0561o  1028           4   1598.0      473.435   1159.673    8596.1005          7        0          7   46.500        8.485     23.928     2.5312         2            1       3
 57929.531318  19.750    0.258     46     12  o    0      4.82  299.61892  62.13773   5730.19   6189.90   3.42  3.05  49.3 -0.407  19.38  21.04  01a57929o0588o   512           2     18.0       11.808     28.923       5.5443          7        0          7    9.966        5.669     23.746     3.4741         5            0       5
 57929.540151  20.456    0.543     24     13  o    0      9.92  299.61892  62.13773   5714.49   6342.00   3.38  2.98  45.8 -0.412  19.39  21.00  01a57929o0606o     0           1      7.0        8.414     20.611       2.1185          7        0          7    7.967        5.537     20.311     2.0422         6            0       6
 57933.506875  16.098    0.007   1321      9  o    0    636.07  299.61892  62.13773   3702.66   5416.88   3.10  2.83  54.3 -0.440  19.59  21.55  01a57933o0540o     4           3     12.0      304.734    746.443    5278.9749          7        0          7    0.609        5.232     10.861     0.9196         4            0       4
 57933.516728  19.199    0.148     76     11  o    0      3.57  299.61892  62.13773   3716.64   5493.43   3.14  2.84  49.7 -0.438  19.55  21.55  01a57933o0560o  1536           2     22.0      113.562    278.170     710.3224          7        0          7   16.233        5.246     21.819     3.1790         5            0       5
 57933.523143  19.820    0.237     43     10  o    0      6.69  299.61892  62.13773   3668.33   5442.13   3.12  2.89  43.4 -0.435  19.57  21.57  01a57933o0573o    32           1     40.0       16.662     40.813      18.6836          7        0          7   23.119        4.730     17.711     3.1714         4            2       6
 57933.531977  18.846    0.106    105     11  o    0      4.57  299.61892  62.13773   3644.59   5589.84   3.09  2.82  57.7 -0.445  19.56  21.53  01a57933o0591o     0           2     23.0      225.419    552.161    2803.8538          7        0          7    7.637        5.361     18.772     2.5034         4            1       5
